claim_id,organization,claimed_reduction_tco2e,historical_avg_emissions_tco2e,current_emissions_tco2e,historical_avg_energy_mwh,current_energy_mwh
C0001,AquaTextiles 907,2287.36,12456.54,10264.28,3562.28,3122.52
C0002,UrbanChem 736,560.49,5337.41,4754.3,7064.31,6680.84
C0003,TerraSystems 579,921.45,6285.92,5351.78,6811.38,6018.97
C0004,EcoAlloys 140,1233.46,11868.19,10633.25,2564.44,2474.7
C0005,SunCement 330,809.87,5905.39,5158.98,2668.72,2534.02
C0006,AquaPower 447,2061.23,11172.8,9221.89,2225.42,2029.86
C0007,EcoMetals 83,1700.24,9942.57,8233.27,4798.89,4325.68
C0008,CedarFoods 952,589.54,10343.93,9797.68,4514.01,3931.01
C0009,EcoPower 140,1522.29,10737.63,9262.37,2697.17,2525.23
C0010,UrbanMaterials 937,442.11,5471.34,5034.03,7138.07,6891.88
C0011,UrbanPower 371,1223.04,13991.52,12715.1,6545.38,5600.57
C0012,HydroPower 904,935.1,15245.31,14394.04,3005.34,2758.27
C0013,TerraCement 890,2085.78,13033.57,10868.07,6999.36,6353.58
C0014,GreenMaterials 335,1376.88,8609.16,7342.9,2619.57,2458.48
C0015,HydroLabs 241,402.84,5648.54,5253.56,6671.12,6327.48
C0016,UrbanSystems 45,1287.6,7861.82,6475.49,6375.73,5801.34
C0017,BlueLabs 14,955.44,6909.94,5955.71,2825.02,2698.97
C0018,AquaAlloys 765,868.53,6557.35,5619.63,6522.68,5748.59
C0019,SunChem 124,1393.76,15145.24,13795.44,4286.68,3906.75
C0020,EcoLabs 520,1700.88,15112.74,13266.33,2236.73,1999.46
C0021,TerraMaterials 141,1236.9,9145.55,7979.62,7414.28,6361.72
C0022,NovaChem 634,658.87,4410.47,3714.39,2700.29,2361.09
C0023,UrbanTextiles 530,1420.84,11350.99,9893.48,6872.56,6326.14
C0024,AquaChem 114,1245.35,14436.39,13249.44,4596.43,4328.0
C0025,HydroSystems 815,737.65,5442.28,4749.61,2466.07,2348.83
C0026,EcoTextiles 922,1210.25,15067.45,13756.38,3010.42,2864.62
C0027,BluePower 22,286.35,4853.67,4577.3,3060.53,2751.61
C0028,CedarTextiles 827,1527.21,10153.41,8522.29,6912.53,6669.09
C0029,EcoSystems 237,724.87,7142.77,6399.11,5241.78,5053.54
C0030,AquaPower 892,2553.31,14034.81,11645.67,2385.79,2285.84
C0031,BlueSystems 901,2517.9,15758.93,13374.1,6511.14,5813.81
C0032,UrbanCement 825,1162.72,10267.83,9136.69,6816.65,6297.15
C0033,SunFoods 266,593.32,5849.27,5239.8,4728.33,4454.52
C0034,SunTextiles 736,832.81,8677.68,7908.89,5871.59,5026.88
C0035,EcoSystems 480,1373.28,8074.66,6780.19,5044.89,4498.48
C0036,SunPower 765,621.84,7600.24,7020.24,6141.91,5445.57
C0037,HydroLabs 132,1796.78,11449.68,9797.0,2623.03,2517.74
