claim_id,organization,claimed_reduction_tco2e,historical_avg_emissions_tco2e,current_emissions_tco2e,historical_avg_energy_mwh,current_energy_mwh,actual_reduction_tco2e,expected_reduction_tco2e,reduction_gap_tco2e,reduction_gap_ratio,energy_change_pct,emissions_change_pct,anomaly_score,model_flag,credibility_score,risk_level,recommendation
C001,GreenSteel Ltd,1200,10000,9000,5000,4700,1000,1000,200,0.1999999998,-5.999999998799999,-9.999999999,-0.12009875873996034,0,90.24,LOW,Approve claim
C002,SolarFoods Inc,800,6000,5300,3200,2950,700,700,100,0.14285714265306124,-7.812499997558595,-11.666666664722221,-0.12392101954284906,0,90.88,LOW,Approve claim
C003,BlueCement Co,1500,11000,10350,5400,5350,650,650,850,1.3076923056804735,-0.9259259257544582,-5.909090908553718,0.04392879974844832,1,67.15,MEDIUM,Request additional evidence
C004,EcoTextile Works,600,4200,3500,2100,1800,700,700,-100,-0.14285714265306124,-14.285714278911566,-16.66666666269841,0.06599544058249385,1,66.88,MEDIUM,Request additional evidence
C005,WindAgro Group,900,7000,6500,3900,3700,500,500,400,0.7999999984,-5.1282051268902045,-7.142857141836734,-0.036458782954943536,0,79.25,LOW,Approve claim
C006,UrbanMetals PLC,2000,12000,11800,6100,6080,200,200,1800,8.999999955,-0.32786885240526736,-1.6666666665277778,0.12955154394085977,1,44.51,HIGH,Escalate for physical audit
C007,HydroChem Labs,700,5000,4300,2600,2200,700,700,0,0.0,-15.384615378698225,-13.9999999972,-0.0,0,74.41,MEDIUM,Request additional evidence
C008,NatureMines Corp,2500,15000,14700,7300,7250,300,300,2200,7.333333308888889,-0.6849315067554888,-1.9999999998666667,0.12644095971698233,1,38.59,HIGH,Escalate for physical audit
C009,SunGrid Power,950,7600,6800,4100,3800,800,800,150,0.187499999765625,-7.317073168947055,-10.526315788088642,-0.13077322323315949,0,91.18,LOW,Approve claim
C010,TerraManufacture,1300,9800,9300,4900,4600,500,500,800,1.5999999968,-6.122448978342357,-5.102040815805914,0.013058653855221092,1,67.47,MEDIUM,Request additional evidence
