claim_id,organization,claimed_reduction_tco2e,historical_avg_emissions_tco2e,current_emissions_tco2e,historical_avg_energy_mwh,current_energy_mwh,actual_reduction_tco2e,expected_reduction_tco2e,reduction_gap_tco2e,reduction_gap_ratio,energy_change_pct,emissions_change_pct,anomaly_score,model_flag,credibility_score,risk_level,recommendation
C0001,HydroLabs 437,1348.29,14025.6,12754.78,5951.46,5178.54,1270.8199999999997,1270.8199999999997,77.47000000000025,0.06096063953906897,-12.987065356570143,-9.060717544414446,-0.057868037422025176,0,87.45,LOW,Approve claim
C0002,CedarTextiles 897,984.55,12253.45,11322.33,2868.64,2780.05,931.1200000000008,931.1200000000008,53.429999999999154,0.057382507026609464,-3.088222989608925,-7.598839509885072,-0.0646874968389296,0,94.96,LOW,Approve claim
C0003,TerraMaterials 664,1274.12,12520.95,11147.92,6394.01,5765.8,1373.0300000000007,1373.0300000000007,-98.91000000000076,-0.07203775585964105,-9.824976812700484,-10.96586121572518,-0.05519354223632772,0,89.08,LOW,Approve claim
C0004,TerraCement 439,1474.1,9758.94,8300.46,5208.8,4655.8,1458.4800000000014,1458.4800000000014,15.619999999998527,0.010709780037634202,-10.61664874623394,-14.945065753560844,-0.058438431968848625,0,89.64,LOW,Approve claim
C0005,HydroMetals 559,816.19,7786.61,6955.21,2269.5,2142.97,831.3999999999996,831.3999999999996,-15.209999999999582,-0.018294443086005707,-5.5752368338509735,-10.677303729006931,-0.09566754841526948,0,96.88,LOW,Approve claim
C0006,AquaSystems 35,435.87,4887.97,4457.01,3647.61,3248.45,430.96000000000004,430.96000000000004,4.909999999999968,0.0113931687131214,-10.943055860976633,-8.816748055160579,-0.06293956371134746,0,89.99,LOW,Approve claim
C0007,TerraPower 783,1696.86,12038.9,10162.97,4335.13,4118.21,1875.9300000000003,1875.9300000000003,-179.0700000000004,-0.09545665344897927,-5.003771512041446,-15.582237578551014,0.029596518257511084,1,82.73,LOW,Approve claim
C0008,BlueMetals 771,1154.7,9650.15,8539.07,2986.99,2842.79,1111.08,1111.08,43.62000000000012,0.03925909921944506,-4.827602367323754,-11.51360341429785,-0.08450098083717739,0,95.96,LOW,Approve claim
C0009,UrbanChem 446,1052.71,8696.05,7548.72,3758.32,3482.39,1147.329999999999,1147.329999999999,-94.61999999999898,-0.08246973400637073,-7.341844226318724,-13.193691387101754,-0.05491726817924425,0,90.75,LOW,Approve claim
C0010,EcoCement 339,1332.13,14921.25,13659.46,5948.39,5078.13,1261.7900000000009,1261.7900000000009,70.33999999999924,0.05574620178021143,-14.630177238777186,-8.45632906033635,-0.03623342998742263,0,84.17,LOW,Approve claim
C0011,AquaFoods 716,588.94,9502.47,8908.27,3597.33,3099.77,594.1999999999989,594.1999999999989,-5.259999999998854,-0.008852238288701826,-13.831369372887286,-6.253111032578559,-0.061192606904454105,0,87.89,LOW,Approve claim
C0012,UrbanFoods 721,1858.73,11034.79,9254.22,3072.25,2700.44,1780.5700000000015,1780.5700000000015,78.15999999999849,0.04389605573277229,-12.102205220245029,-16.135966337724973,-0.020904154332239522,0,84.18,LOW,Approve claim
C0013,EcoAlloys 432,1534.0,11602.24,10041.97,5312.54,5099.33,1560.2700000000004,1560.2700000000004,-26.270000000000437,-0.016836829512304665,-4.013334487079,-13.44800659067146,-0.04260662171745022,0,92.29,LOW,Approve claim
C0014,UrbanMetals 180,479.58,8092.36,7578.96,2894.88,2603.9,513.3999999999996,513.3999999999996,-33.81999999999965,-0.06587456161691686,-10.051539265858503,-6.344255568666707,-0.05065683198034465,0,89.04,LOW,Approve claim
C0015,NovaFoods 924,1530.77,11056.52,9654.34,4007.78,3876.58,1402.1800000000003,1402.1800000000003,128.5899999999997,0.09170719872505131,-3.2736327834178507,-12.681928851692764,-0.014685414693928978,0,88.95,LOW,Approve claim
C0016,NovaChem 467,597.46,5176.21,4587.2,4776.62,4095.77,589.0100000000002,589.0100000000002,8.449999999999818,0.01434610615380674,-14.253802895299645,-11.379175108548695,-0.05714491213027645,0,87.15,LOW,Approve claim
C0017,UrbanPower 473,782.27,7350.31,6485.27,3923.63,3599.27,865.04,865.04,-82.76999999999998,-0.09568343649347608,-8.266834536317944,-11.768755329806666,-0.05613917233181315,0,90.36,LOW,Approve claim
